SKU,DirectPickLookbackUnits,DirectPickDemandDays,DailyBaseUnits,WeeklyBaseUnits,ValidReservationUnits,ReservationPhysicalTotal,ReservationSalesAllocatedPhysicalTotal,InboundTotalUnits,InboundNext14Units,InboundNext30Units,HasDirectPickHistory,HasValidReservation,HasInbound,Future14DayPromoDays,FutureWeeklyPromoWeeks,HasFuturePromo,FD1ToFD14Units,First13WeekUnits
33175-S74-130,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,False,True,False,0,0,False,2,2.0
33175-S74-90,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,True,False,0,0,False,1,1.0
33175-SR4-100,41.0,24.0,0.7321428571428571,5.125,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,22,107.5
33175-SR4-110,55.0,30.0,0.9821428571428571,6.875,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,25,128.5
33175-SR4-120,102.0,37.0,1.8214285714285714,12.75,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,35,199.0
33175-SR4-130,190.0,48.0,3.392857142857143,23.75,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,53,331.0
33175-SR4-140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,13,46.0
33175-SR4-150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,13,46.0
33175-SR4-160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,13,46.0
33175-SR4-85,33.0,20.0,0.5892857142857143,4.125,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,20,95.5
33175-SR4-90,45.0,24.0,0.8035714285714286,5.625,2.0,1.0,1.0,0.0,0.0,0.0,True,True,False,2,1,True,23,113.5
33175-TD4-110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33175-TD4-130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33175-TD4-140,0.0,0.0,0.0,0.0,55.0,55.0,0.0,0.0,0.0,0.0,False,True,False,0,0,False,55,55.0
33175-TD4-85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33175-TT2-100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33175-TT2-110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33175-TT2-120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33175-TT2-130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33175-TT2-140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33175-TT2-90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33175-U74-100,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,True,False,0,0,False,1,1.0
33175-U74-120,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,False,True,False,0,0,False,2,2.0
33175-VF3-160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33176-NQ3-130,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,True,False,0,0,False,1,1.0
33176-NQ8-160,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,False,True,False,0,0,False,1,1.0
33218-011-100,23.0,17.0,0.4107142857142857,2.875,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,17,76.5
33218-011-110,59.0,28.0,1.0535714285714286,7.375,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,25,130.5
33218-011-120,133.0,34.0,2.375,16.625,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,40,241.5
33218-011-130,178.0,37.0,3.1785714285714284,22.25,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,50,309.0
33218-011-140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,12,42.0
33218-011-150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,12,42.0
33218-011-160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,12,42.0
33218-011-85,18.0,14.0,0.32142857142857145,2.25,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,16,69.0
33218-011-90,22.0,15.0,0.39285714285714285,2.75,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,17,75.0
33218-16N-100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33218-16N-120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33218-16N-130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33218-1AY-100,134.0,30.0,2.392857142857143,16.75,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0,0,False,34,217.75
33218-1AY-130,1.0,1.0,0.017857142857142856,0.125,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0,0,False,0,1.625
33218-1AY-85,103.0,29.0,1.8392857142857142,12.875,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0,0,False,26,167.375
33218-1AY-90,101.0,28.0,1.8035714285714286,12.625,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0,0,False,25,164.125
33218-1KJ-100,7.0,4.0,0.125,0.875,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0,0,False,2,11.375
33218-1KJ-110,46.0,20.0,0.8214285714285714,5.75,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0,0,False,12,74.75
33218-1KJ-120,69.0,20.0,1.2321428571428572,8.625,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0,0,False,17,112.125
33218-1KJ-130,55.0,18.0,0.9821428571428571,6.875,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0,0,False,14,89.375
33218-1KJ-90,1.0,1.0,0.017857142857142856,0.125,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0,0,False,0,1.625
33218-2SZ-100,39.0,18.0,0.6964285714285714,4.875,8.0,5.0,3.0,0.0,0.0,0.0,True,True,False,2,1,True,22,105.5
33218-2SZ-110,56.0,28.0,1.0,7.0,6.0,3.0,3.0,0.0,0.0,0.0,True,True,False,2,1,True,25,131.0
33218-2SZ-120,114.0,37.0,2.0357142857142856,14.25,6.0,3.0,3.0,0.0,0.0,0.0,True,True,False,2,1,True,38,218.0
33218-2SZ-130,203.0,42.0,3.625,25.375,39.0,20.0,19.0,0.0,0.0,0.0,True,True,False,2,1,True,82,351.5
33218-2SZ-140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,13,47.0
33218-2SZ-150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,13,47.0
33218-2SZ-160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,2,1,True,13,47.0
33218-2SZ-85,15.0,12.0,0.26785714285714285,1.875,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,2,1,True,17,69.5
33218-2SZ-90,16.0,8.0,0.2857142857142857,2.0,4.0,3.0,1.0,0.0,0.0,0.0,True,True,False,2,1,True,17,71.0
33218-SR4-100,20.0,12.0,0.35714285714285715,2.5,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0,0,False,5,32.5
33218-SR4-110,17.0,8.0,0.30357142857142855,2.125,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0,0,False,4,27.625
33218-SR4-120,109.0,27.0,1.9464285714285714,13.625,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0,0,False,27,177.125
33218-SR4-85,4.0,2.0,0.07142857142857142,0.5,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0,0,False,1,6.5
33218-SR4-90,67.0,22.0,1.1964285714285714,8.375,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,0,0,False,17,108.875
33218-TB4-100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,False,False,True,0,0,False,0,0.0
33218-TB4-120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,False,True,0,0,False,0,0.0
