SKU,LoadMaxQty,InFwdDemandCSV
47681-5CM-140,21.0,False
47681-5CM-150,18.0,False
47681-5CM-75,37.0,False
47681-5CM-80,36.0,False
47681-5CN-150,18.0,False
47681-5CN-75,36.0,False
47681-5DD-100,36.0,False
47681-5DD-110,30.0,False
47681-5DD-120,27.0,False
47681-5DD-130,24.0,False
47681-5DD-140,22.0,False
47681-5DD-150,18.0,False
47681-5DD-75,25.0,False
47681-5DD-80,38.0,False
47681-5DD-85,36.0,False
47681-5DD-90,37.0,False
47681-5PK-100,36.0,False
47681-5PK-110,30.0,False
47681-5PK-120,27.0,False
47681-5PK-130,24.0,False
47681-5PK-140,22.0,False
47681-5PK-150,18.0,False
47681-5PK-75,36.0,False
47681-5PK-80,36.0,False
47681-5PK-85,36.0,False
47681-5PK-90,36.0,False
47681-5QG-130,24.0,False
47681-5QG-140,21.0,False
47681-5QG-150,18.0,False
47681-5QG-75,36.0,False
47681-5QG-80,36.0,False
47681-5QG-85,36.0,False
47684-5LW-100,36.0,False
47684-5LW-110,30.0,False
47684-5LW-120,30.0,False
47684-5LW-130,24.0,False
47684-5LW-140,21.0,False
47684-5LW-150,18.0,False
47684-5LW-85,36.0,False
47684-5LW-90,38.0,False
47684-5LX-100,70.0,False
47684-5LX-110,60.0,False
47684-5LX-120,60.0,False
47684-5LX-130,50.0,False
47684-5LX-140,45.0,False
47684-5LX-150,45.0,False
47684-5LX-85,80.0,False
47684-5LX-90,80.0,False
47684-5LY-100,71.0,False
47684-5LY-110,60.0,False
47684-5LY-120,60.0,False
47684-5LY-130,50.0,False
47684-5LY-140,45.0,False
47684-5LY-150,45.0,False
47684-5LY-85,90.0,False
47684-5LY-90,80.0,False
47684-5LZ-130,55.0,False
47684-5LZ-150,45.0,False
47684-5LZ-85,90.0,False
47684-5LZ-90,80.0,False
47684-5M5-140,45.0,False
47684-5M5-150,45.0,False
47684-5M5-85,90.0,False
47684-5M5-90,80.0,False
47929-U74-L,60.0,False
47929-U74-S,70.0,False
47929-U74-XL,62.0,False
47929-U74-XS,66.0,False
47929-U74-XXL,48.0,False
48080-2KE-100,43.0,False
48080-2KE-110,45.0,False
48080-2KE-120,45.0,False
48080-2KE-130,50.0,False
48080-2KE-140,45.0,False
48080-2KE-150,35.0,False
48080-2KE-85,57.0,False
48080-2KE-90,44.0,False
48080-32B-100,55.0,False
48080-32B-110,47.0,False
48080-32B-120,45.0,False
48080-32B-130,50.0,False
48080-32B-140,45.0,False
48080-32B-150,46.0,False
48080-32B-85,55.0,False
48080-32B-90,55.0,False
48080-5HP-100,43.0,False
48080-5HP-150,34.0,False
48080-5HW-85,40.0,False
48080-6VW-100,40.0,False
48080-6VW-110,45.0,False
48080-6VW-120,45.0,False
48080-6VW-130,46.0,False
48080-6VW-140,42.0,False
48080-6VW-150,33.0,False
48080-6VW-85,45.0,False
48080-6VW-90,49.0,False
48080-PM7-110,50.0,False
48200-4MB-S,300.0,False
48200-4MB-XS,350.0,False
48200-4MB-XXS,301.0,False
48879-FX7-XL,53.0,False
48879-FX7-XS,70.0,False
49027-GK3-100,85.0,False
49027-GK3-110,80.0,False
49027-GK3-120,76.0,False
49027-GK3-130,70.0,False
49027-GK3-140,65.0,False
49027-GK3-150,60.0,False
49027-GK3-85,95.0,False
49027-GK3-90,90.0,False
49027-SR4-100,85.0,False
49027-SR4-110,80.0,False
49027-SR4-120,80.0,False
49027-SR4-130,70.0,False
49027-SR4-140,65.0,False
49027-SR4-150,60.0,False
49027-SR4-85,95.0,False
49027-SR4-90,90.0,False
50265-2BX-L,150.0,False
50265-2BX-S,250.0,False
50265-2BX-XL,130.0,False
50265-2BX-XS,154.0,False
50265-3SN-L,125.0,False
50265-3SN-M,130.0,False
50265-3SN-S,135.0,False
50265-3SN-XL,85.0,False
50265-3SN-XS,49.0,False
50265-4LF-L,60.0,False
50265-4LF-M,71.0,False
50265-4LF-S,73.0,False
50265-4LF-XL,55.0,False
50265-4LF-XS,44.0,False
50265-4XJ-L,170.0,False
50265-4XJ-M,200.0,False
50265-4XJ-S,276.0,False
50265-4XJ-XL,128.0,False
50265-4XJ-XS,122.0,False
50265-4YZ-XL,120.0,False
50265-5BE-L,77.0,False
50265-5BE-M,83.0,False
50265-5BE-S,86.0,False
50265-5BE-XL,48.0,False
50265-5BE-XS,44.0,False
50265-727-L,130.0,False
50265-727-M,150.0,False
50265-727-S,169.0,False
50265-727-XL,96.0,False
50265-727-XS,58.0,False
50265-XU1-L,130.0,False
50265-XU1-M,150.0,False
50265-XU1-S,220.0,False
50265-XU1-XL,100.0,False
50265-XU1-XS,220.0,False
50754-1MW-L,134.0,False
50754-1MW-M,141.0,False
50754-1MW-S,116.0,False
50754-1MW-XL,108.0,False
50754-1MW-XS,95.0,False
50754-1NA-L,46.0,False
50754-1NA-M,50.0,False
50754-1NA-S,37.0,False
50754-1NA-XL,36.0,False
50754-1NA-XS,33.0,False
50754-3GB-L,36.0,False
50754-3GB-M,112.0,False
50754-3GB-S,154.0,False
50754-3GB-XL,12.0,False
50754-3GB-XS,68.0,False
50754-3GC-L,36.0,False
50754-3GC-M,114.0,False
50754-3GC-S,160.0,False
50754-3GC-XL,12.0,False
50754-3GC-XS,69.0,False
50754-WQ9-L,100.0,False
50754-WQ9-M,151.0,False
50754-WQ9-S,120.0,False
50754-WQ9-XL,64.0,False
50754-WQ9-XS,62.0,False
50763-001-S,61.0,False
50763-1MT-L,138.0,False
50763-1MT-M,140.0,False
