SKU,Velocity_Old,Velocity_New,SlotTier_Old,SlotTier_New,ProductGroupCode_Old,ProductGroupCode_New,SizeGroupCode_Old,SizeGroupCode_New,FD14_Old,FD14_New,FD14Delta,RankDelta,PutawayIndicator_Old,PutawayIndicator_New
80617-6FN-OS,C,B,BAPOC,BAPOB,BAP,BAP,O,O,0,0,0,1,0,0
80854-6M6-110,A,AA,GIRSA,GIRSAA,GIR,GIR,S,S,0,0,0,1,0,0
80854-6M6-90,B,A,GIRXB,GIRXA,GIR,GIR,X,X,0,0,0,1,0,0
80854-6PT-150,B,A,GIRLB,GIRLA,GIR,GIR,L,L,0,0,0,1,0,0
80854-6QF-130,A,AA,GIRMA,GIRMAA,GIR,GIR,M,M,0,0,0,1,0,0
80854-6QF-85,C,B,GIRXC,GIRXB,GIR,GIR,X,X,0,0,0,1,0,0
80859-6LG-85,A,AA,GIRXA,GIRXAA,GIR,GIR,X,X,0,0,0,1,0,0
80869-6LG-60,B,A,BAPIB,BAPIA,BAP,BAP,I,I,0,0,0,1,0,0
80869-6LG-70,A,AA,BAPIA,BAPIAA,BAP,BAP,I,I,0,0,0,1,0,0
80869-6LG-80,A,AA,BAPXA,BAPXAA,BAP,BAP,X,X,0,0,0,1,0,0
80973-504-M,B,A,CSLMB,CSLMA,CSL,CSL,M,M,0,0,0,1,0,0
81024-541-100,A,AA,COLSA,COLSAA,COL,COL,S,S,0,0,0,1,0,0
81024-541-90,A,AA,COLXA,COLXAA,COL,COL,X,X,0,0,0,1,0,0
81066-542-100,A,AA,COLSA,COLSAA,COL,COL,S,S,0,0,0,1,0,0
81066-542-120,A,AA,COLMA,COLMAA,COL,COL,M,M,0,0,0,1,0,0
81066-542-85,C,B,COLXC,COLXB,COL,COL,X,X,0,0,0,1,0,0
81066-542-90,A,AA,COLXA,COLXAA,COL,COL,X,X,0,0,0,1,0,0
81316-2MD-85,C,B,KUSXC,KUSXB,KUS,KUS,X,X,0,0,0,1,0,0
81316-2NL-100,B,A,KUSSB,KUSSA,KUS,KUS,S,S,0,0,0,1,0,0
81316-2NL-120,B,A,KUSMB,KUSMA,KUS,KUS,M,M,0,0,0,1,0,0
81316-2NL-130,B,A,KUSMB,KUSMA,KUS,KUS,M,M,0,0,0,1,0,0
81316-2NL-140,B,A,KUSLB,KUSLA,KUS,KUS,L,L,0,0,0,1,0,0
81318-1EP-110,C,B,KUSSC,KUSSB,KUS,KUS,S,S,0,0,0,1,0,0
81318-2NA-130,C,B,KUSMC,KUSMB,KUS,KUS,M,M,0,0,0,1,0,0
81318-2NA-90,C,B,KUSXC,KUSXB,KUS,KUS,X,X,0,0,0,1,0,0
81338-6AN-85,A,AA,KUSXA,KUSXAA,KUS,KUS,X,X,0,0,0,1,0,0
81351-015-110,A,AA,BOYSA,BOYSAA,BOY,BOY,S,S,0,0,0,1,0,0
81351-015-150,B,A,BOYLB,BOYLA,BOY,BOY,L,L,0,0,0,1,0,0
81351-6VW-150,A,AA,BOYLA,BOYLAA,BOY,BOY,L,L,0,0,0,1,0,0
81351-A91-140,A,AA,BOYLA,BOYLAA,BOY,BOY,L,L,0,0,0,1,0,0
81351-A91-90,A,AA,BOYXA,BOYXAA,BOY,BOY,X,X,0,0,0,1,0,0
81380-6WE-150,A,AA,KNILA,KNILAA,KNI,KNI,L,L,0,0,0,1,0,0
81496-1GF-100,A,AA,KNISA,KNISAA,KNI,KNI,S,S,0,0,0,1,0,0
81496-3V3-100,A,AA,KNISA,KNISAA,KNI,KNI,S,S,0,0,0,1,0,0
81569-1GF-110,A,AA,KNISA,KNISAA,KNI,KNI,S,S,0,0,0,1,0,0
81569-1GF-120,A,AA,KNIMA,KNIMAA,KNI,KNI,M,M,0,0,0,1,0,0
81644-1SA-85,A,AA,KNIXA,KNIXAA,KNI,KNI,X,X,0,0,0,1,0,0
81718-1SA-150,A,AA,GIRLA,GIRLAA,GIR,GIR,L,L,0,0,0,1,0,0
81718-1SA-90,A,AA,GIRXA,GIRXAA,GIR,GIR,X,X,0,0,0,1,0,0
81780-4DZ-85,C,B,BOYXC,BOYXB,BOY,BOY,X,X,0,0,0,1,0,0
81884-6YH-50,C,B,BAPIC,BAPIB,BAP,BAP,I,I,0,0,0,1,0,0
81884-6YH-90,A,AA,BAPXA,BAPXAA,BAP,BAP,X,X,0,0,0,1,0,0
81884-6YL-70,A,AA,BAPIA,BAPIAA,BAP,BAP,I,I,0,0,0,1,0,0
81884-6YL-85,A,AA,BAPXA,BAPXAA,BAP,BAP,X,X,0,0,0,1,0,0
81884-6ZD-50,C,B,BAPIC,BAPIB,BAP,BAP,I,I,0,0,0,1,0,0
81884-6ZD-90,A,AA,BAPXA,BAPXAA,BAP,BAP,X,X,0,0,0,1,0,0
81941-1GF-110,A,AA,KNISA,KNISAA,KNI,KNI,S,S,0,0,0,1,0,0
81941-1GF-140,A,AA,KNILA,KNILAA,KNI,KNI,L,L,0,0,0,1,0,0
81941-31P-110,C,B,KNISC,KNISB,KNI,KNI,S,S,0,0,0,1,0,0
81941-31P-120,C,B,KNIMC,KNIMB,KNI,KNI,M,M,0,0,0,1,0,0
81941-3KH-85,C,B,KNIXC,KNIXB,KNI,KNI,X,X,0,0,0,1,0,0
82057-2VA-S,C,B,CSLSC,CSLSB,CSL,CSL,S,S,0,0,0,1,0,0
82057-2VA-XXS,C,B,CSLXC,CSLXB,CSL,CSL,X,X,0,0,0,1,0,0
82153-5ZV-L,B,A,COLLB,COLLA,COL,COL,L,L,0,0,0,1,0,0
82203-2GG-100,C,B,KUSSC,KUSSB,KUS,KUS,S,S,0,0,0,1,0,0
82261-76X-90,C,B,GIRXC,GIRXB,GIR,GIR,X,X,0,0,0,1,0,0
82301-990-50,B,A,BAPIB,BAPIA,BAP,BAP,I,I,0,0,0,1,0,0
82301-990-85,B,A,BAPXB,BAPXA,BAP,BAP,X,X,0,0,0,1,0,0
82301-990-90,B,A,BAPXB,BAPXA,BAP,BAP,X,X,0,0,0,1,0,0
82595-AD5-100,A,AA,KNISA,KNISAA,KNI,KNI,S,S,0,0,0,1,0,0
82595-AD5-110,A,AA,KNISA,KNISAA,KNI,KNI,S,S,0,0,0,1,0,0
82595-AD5-85,B,A,KNIXB,KNIXA,KNI,KNI,X,X,0,0,0,1,0,0
82662-5NE-OS,B,A,BAPOB,BAPOA,BAP,BAP,O,O,0,0,0,1,0,0
82675-6PF-150,A,AA,GIRLA,GIRLAA,GIR,GIR,L,L,0,0,0,1,0,0
82675-76X-150,A,AA,GIRLA,GIRLAA,GIR,GIR,L,L,0,0,0,1,0,0
82675-76X-90,A,AA,GIRXA,GIRXAA,GIR,GIR,X,X,0,0,0,1,0,0
82675-SR4-100,A,AA,GIRSA,GIRSAA,GIR,GIR,S,S,0,0,0,1,0,0
82723-5XW-140,B,A,GIRLB,GIRLA,GIR,GIR,L,L,0,0,0,1,0,0
82773-5OT-90,C,B,GIRXC,GIRXB,GIR,GIR,X,X,0,0,0,1,0,0
83156-21L-L,B,A,ASLLB,ASLLA,ASL,ASL,L,L,0,0,0,1,0,0
83156-21L-S,B,A,ASLSB,ASLSA,ASL,ASL,S,S,0,0,0,1,0,0
83156-21L-XL,C,B,ASLLC,ASLLB,ASL,ASL,L,L,0,0,0,1,0,0
