Division,Department,Class,KeyCategoryView,Sale2025Units,Baseline2025Units,Baseline2025DailyUnits,BaselineExpected2025Units,CategoryLift2025,Sale2025Share,CurrentBaselineObservedDays,CurrentBaselineDailyUnits,CurrentExpectedBy2025Lift,hybrid_ml_raw_min20_recent_w0p05,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x0p85,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p0,hybrid_ml_raw_min20_recent_w0p05_cap_recent_x1p1,hybrid_ml_raw_min20_recent_w0p1,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x0p85,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p0,hybrid_ml_raw_min20_recent_w0p1_cap_recent_x1p1,recent_no_ml_no_promo_floor,CurrentPromoSkuDays,CurrentPromoSKUs,CurrentMaxDiscount,CurrentAvgDiscount,CurrentPDLAvailInv,GapVsHybrid10Cap085,LiftExpectedToHybridRatio
W Baby Apparel,WBby sets,WBby SL set,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.243564393230695,196.0,28.0,0.0,0.0,0.0,0.0,
W Baby Apparel,WBby sets,WBby SS set,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.32237725316718,0.0,0.0,0.0,0.0,0.0,0.0,
W Baby Apparel,WBby swimwear,WBby swim 1pc,M&B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.586535588059657,0.0,0.0,0.0,0.0,0.0,0.0,
W Baby Apparel,WBby sweater,WBby swtr cardigan,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.699802267199422,0.0,0.0,0.0,0.0,0.0,0.0,
W Kids Unisex Sleep,WS KU non cotton,WS KU non cttn PJ,Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.36871362190618,168.0,24.0,0.0,0.0,0.0,0.0,
Collab Apparel,C Boy,C B pant,Collab Boy,18.0,16.0,0.5714285714285714,8.0,2.25,3.796106881498197e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Collab Apparel,C Kids Unisex,C KU sweater,Collab Kids Uni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,8.0,0.0,0.0,0.0,0.0,
Collab Apparel,C Girl,C G jkt-vest,Collab Girl,183.0,127.0,4.535714285714286,63.5,2.8818897637795278,0.0003859375329523167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Girls,G outerwear,G vest,Jacket,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.243564393230695,112.0,16.0,0.0,0.0,0.0,0.0,
Kids Accessories,KA shoes,KA B shoe,Accessories,0.0,5.0,0.17857142857142858,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,
