PickYear,LocProfileId,SourceLocation,SourceZone,SKU,PickLines,DistinctOrders,PickUnits,FirstPickDate,LastPickDate,SourceSchema
2025,W001,07-052C,W001,82479-3NA-70,3,3,6.0,2025-04-24,2025-08-23,DAX_Archive.arc
2022,invalid,24-135W,Invalid,67536-WQ1-130,1,1,1.0,2022-07-21,2022-07-21,DAX_Archive.arc
2026,W001,07-100E,W001,83069-3MZ-60,1,1,4.0,2026-02-10,2026-02-10,DAX_Archive.arc
2022,invalid,07-020C,Invalid,67090-V98-130,7,7,7.0,2022-02-15,2022-02-28,DAX_Archive.arc
2022,W001,07-112X,W001,66945-VF5-80,1,1,1.0,2022-01-22,2022-01-22,DAX_Archive.arc
2022,W001,07-131D,W001,67610-RR5-L,1,1,1.0,2022-07-08,2022-07-08,DAX_Archive.arc
2022,invalid,24-134D,Invalid,52408-Q84-130,170,170,179.0,2022-01-02,2022-02-06,DAX_Archive.arc
2022,W001,07-011Z,W001,66356-VJ4-L,28,28,33.0,2022-01-03,2022-03-17,DAX_Archive.arc
2022,invalid,07-003A,Invalid,67784-SR4-50,1,1,1.0,2022-06-24,2022-06-24,DAX_Archive.arc
2022,W001,07-033Y,W001,66940-VA5-50,1,1,1.0,2022-01-30,2022-01-30,DAX_Archive.arc
2022,W001,07-071Z,W001,66974-SR4-130,2,2,2.0,2022-01-28,2022-01-28,DAX_Archive.arc
2022,W001,07-062D,W001,58712-GF2-120,1,1,1.0,2022-01-25,2022-01-25,DAX_Archive.arc
2022,W001,07-129X,W001,60310-FX9-S,3,3,3.0,2022-03-17,2022-04-28,DAX_Archive.arc
2022,invalid,12-030D,Invalid,68150-06G-70,67,67,70.0,2022-09-16,2022-10-18,DAX_Archive.arc
2022,invalid,08-106W,Invalid,80104-CK7-80,1,1,1.0,2022-11-11,2022-11-11,DAX_Archive.arc
2023,invalid,16-138W,Invalid,44403-FU8-XL,21,21,21.0,2023-11-26,2023-12-01,DAX_Archive.arc
2022,W001,07-098Z,W001,67171-990-120,1,1,1.0,2022-01-30,2022-01-30,DAX_Archive.arc
2023,invalid,17-133X,Invalid,80104-XV7-90,24,24,25.0,2023-05-26,2023-05-29,DAX_Archive.arc
