Division,Department,Class,SKUs,FDUnits,MLUnits,RecentUnits,MLSelectedSKUs
Collab Sleepwear,CS Kids Unisex sleep,CS KU set,49,342,577.9777989464445,70.77010489570593,12
Collab Apparel,C Adult,C Adult Unisex,23,341,472.31498560688135,92.5828084594509,9
Collab Apparel,C Kids Unisex,C KU set,24,333,515.699284430244,160.20218950706033,9
Baby Accessories,BA hats,BA pilot/knot hat,27,327,459.23513105912883,194.1330617173303,10
Adult Sleep,S AU sleepwear,S AU LJ top,177,295,1103.3412949532262,247.45300376204023,10
Baby Apparel,Bby 1pc,Bby LS 1pc,40,285,393.1169384173845,93.3098985782424,9
Girls,G outerwear,G jkt,27,281,408.7318869148966,179.59125934150032,7
Adult Sleep,S W sleepwear,S W LJ bottom,58,272,581.9155440802788,212.31031468711777,7
Adult Sleep,S AU sleepwear,S AU Pajama,103,255,870.3614389189861,245.75646015152674,9
Collab Sleepwear,CS AU sleep,CS AU bottom,66,244,505.11367773674124,159.23273601533833,7
Collab Sleepwear,CS AU sleep,CS AU Pajama,50,236,597.932157222302,164.32236684687882,8
Adult Sleep,S W sleepwear,S W LJ top,57,233,374.08565840318084,105.91279397062837,7
Boys,B sweater,B swtr pullover,49,219,523.0856280347634,132.08803824712234,6
Collab Apparel,C Boy,C B top,11,206,274.6826766600466,64.22629382658243,4
Collab Accessories,CA underwear,CA B underwear,11,205,212.4332669843952,282.1109660911017,3
Collab Apparel,C Kids Unisex,C KU swimwear,20,183,389.8164567633735,140.57075629968983,6
Kids Unisex,KU outerwear,KU ow,58,180,477.3286150862931,260.2982625273567,5
Adult Apparel,O womens apparel,O womens apparel top,18,170,333.1084768963053,68.34647116640093,6
Collab Apparel,C Boy,C B swimwear,17,168,337.1485151645171,162.86818660929583,5
